away_team,away_points,home_team,home_points,n_ot
Philadelphia 76ers,96,Phoenix Suns,112,0
Atlanta Hawks,98,Utah Jazz,92,0
Boston Celtics,104,Chicago Bulls,109,1
Memphis Grizzlies,85,Denver Nuggets,114,0
Miami Heat,79,Houston Rockets,115,0
Philadelphia 76ers,91,Los Angeles Clippers,127,0
Utah Jazz,101,Minnesota Timberwolves,89,0
Charlotte Hornets,98,Orlando Magic,90,0
Atlanta Hawks,115,Portland Trail Blazers,107,0
Washington Wizards,92,San Antonio Spurs,101,0
Dallas Mavericks,109,Cleveland Cavaliers,90,0
Sacramento Kings,95,Detroit Pistons,114,0
Indiana Pacers,87,Los Angeles Lakers,88,0
Brooklyn Nets,84,Miami Heat,88,0
Milwaukee Bucks,95,New York Knicks,82,0
Toronto Raptors,109,Phoenix Suns,125,0
Charlotte Hornets,104,Boston Celtics,95,0
Dallas Mavericks,96,Brooklyn Nets,88,1
Houston Rockets,105,Chicago Bulls,114,0
Oklahoma City Thunder,91,Golden State Warriors,117,0
Atlanta Hawks,107,Los Angeles Clippers,98,0
New York Knicks,83,Memphis Grizzlies,105,0
Denver Nuggets,110,Minnesota Timberwolves,101,0
Washington Wizards,92,New Orleans Pelicans,85,0
Cleveland Cavaliers,92,Philadelphia 76ers,95,0
Los Angeles Lakers,94,Portland Trail Blazers,98,0
Indiana Pacers,105,Utah Jazz,101,0
Phoenix Suns,102,Milwaukee Bucks,96,0
Detroit Pistons,105,San Antonio Spurs,104,0
Memphis Grizzlies,86,Atlanta Hawks,96,0
Boston Celtics,89,Brooklyn Nets,81,0
Utah Jazz,97,Chicago Bulls,77,0
New Orleans Pelicans,94,Charlotte Hornets,98,0
Houston Rockets,105,Cleveland Cavaliers,93,0
Detroit Pistons,108,Dallas Mavericks,95,0
Orlando Magic,90,Denver Nuggets,93,0
Indiana Pacers,102,Golden State Warriors,117,0
Los Angeles Lakers,89,Los Angeles Clippers,114,0
Phoenix Suns,113,Minnesota Timberwolves,111,0
Milwaukee Bucks,97,Philadelphia 76ers,77,0
Oklahoma City Thunder,83,Sacramento Kings,104,0
New York Knicks,91,Washington Wizards,101,0
Houston Rockets,120,New York Knicks,96,0
Miami Heat,83,Portland Trail Blazers,99,0
Charlotte Hornets,103,Toronto Raptors,95,0
Philadelphia 76ers,90,Brooklyn Nets,88,0
Atlanta Hawks,106,Detroit Pistons,103,0
Cleveland Cavaliers,94,Golden State Warriors,112,0
Boston Celtics,103,Indiana Pacers,107,1
Orlando Magic,84,Los Angeles Lakers,101,0
Minnesota Timberwolves,84,Milwaukee Bucks,98,0
Memphis Grizzlies,95,New Orleans Pelicans,106,0
Utah Jazz,94,Oklahoma City Thunder,99,0
Denver Nuggets,118,Sacramento Kings,108,0
Phoenix Suns,95,San Antonio Spurs,100,0
Chicago Bulls,86,Washington Wizards,102,0
Milwaukee Bucks,87,Chicago Bulls,95,0
Brooklyn Nets,93,Detroit Pistons,98,0
Utah Jazz,82,Houston Rockets,97,0
